iter	Passed	Remaining
844	1361	249
845	1362	248
846	1363	246
847	1364	244
848	1365	242
849	1366	241
850	1367	239
851	1368	237
852	1369	236
853	1371	234
854	1373	232
855	1374	231
856	1375	229
857	1376	227
858	1377	226
859	1378	224
860	1379	222
861	1380	221
862	1381	219
863	1382	217
864	1383	215
865	1384	214
866	1385	212
867	1386	210
868	1387	209
869	1388	207
870	1390	205
871	1391	204
872	1392	202
873	1393	200
874	1395	199
875	1396	197
876	1397	195
877	1398	194
878	1399	192
879	1400	190
880	1401	189
881	1402	187
882	1403	185
883	1404	184
884	1405	182
885	1407	181
886	1408	179
887	1409	177
888	1410	176
889	1411	174
890	1412	172
891	1413	171
892	1414	169
893	1415	167
894	1416	166
895	1417	164
896	1418	162
897	1420	161
898	1421	159
899	1422	158
900	1423	156
901	1424	154
902	1425	153
903	1426	151
904	1427	149
905	1428	148
906	1429	146
907	1430	144
908	1431	143
909	1432	141
910	1434	140
911	1435	138
912	1436	136
913	1437	135
914	1439	133
915	1441	132
916	1442	130
917	1443	128
918	1444	127
919	1445	125
920	1446	124
921	1447	122
922	1449	120
923	1450	119
924	1451	117
925	1452	116
926	1453	114
927	1454	112
928	1456	111
929	1457	109
930	1458	108
931	1459	106
932	1460	104
933	1461	103
934	1463	101
935	1464	100
936	1465	98
937	1466	96
938	1467	95
939	1468	93
940	1470	92
941	1470	90
942	1472	88
943	1473	87
944	1474	85
945	1475	84
946	1476	82
947	1477	81
948	1479	79
949	1480	77
950	1481	76
951	1482	74
952	1483	73
953	1484	71
954	1485	70
955	1486	68
956	1487	66
957	1488	65
958	1489	63
959	1490	62
960	1492	60
961	1493	58
962	1494	57
963	1495	55
964	1496	54
965	1497	52
966	1498	51
967	1499	49
968	1500	48
969	1502	46
970	1502	44
971	1504	43
972	1506	41
973	1507	40
974	1509	38
975	1510	37
976	1511	35
977	1512	34
978	1513	32
979	1514	30
980	1515	29
981	1516	27
982	1517	26
983	1518	24
984	1519	23
985	1520	21
986	1521	20
987	1523	18
